STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
CVS PHARMACY 610,10,"SARAH'S WAY, RT 6","10 SARAH'S WAY, RT 6",FAIRHAVEN,MA,2719,BRISTOL,CO,Yes
STORE 24 30,10,HIGH STREET,10 HIGH STREET,WALTHAM,MA,2454,MIDDLESEX,CS,Yes
TOWER CONVENIENCE STORE,10,CHESTNUT ST,10 CHESTNUT ST,SPRINGFIELD,MA,1103,HAMPDEN,CS,Yes
CVS PHARMACY 1885,10,MEETINGHOUSE RD,10 MEETINGHOUSE RD,LITTLETON,MA,1460,MIDDLESEX,CO,Yes
7-ELEVEN #33362-B,10,MILK ST,10 MILK ST,BOSTON,MA,2108,SUFFOLK,CS,Yes
Los Paisanos Market,11,Meridian St,11 Meridian St,E Boston,MA,2128,SUFFOLK,CS,Yes
WALMART SUPERCENTER 2964,11,JUNGLE RD,11 JUNGLE RD,LEOMINSTER,MA,1453,WORCESTER,SM,Yes
MARKET BASKET 19,11,WOOD ST,11 WOOD ST,LOWELL,MA,1851,MIDDLESEX,SS,Yes
BIG E'S FOODLAND INC,11,UNION STREET,11 UNION STREET,EASTHAMPTON,MA,1027,HAMPSHIRE,SS,Yes
CLEARWATER NATURAL FOODS,11,HOUSATONIC STREET,11 HOUSATONIC STREET,LENOX,MA,1240,BERKSHIRE,MG,Yes
MAPLEWOOD MEAT MARKET,11,MAPLEWOOD STREET,11 MAPLEWOOD STREET,MALDEN,MA,2148,MIDDLESEX,SG,Yes
COUSINS FOOD MARKET,11,EAST PLEASANT STREET,11 EAST PLEASANT STREET,AMHERST,MA,1002,HAMPDEN,SG,Yes
TEDESCHI FOOD SHOPS 181,11,SEA STREET,11 SEA STREET,N WEYMOUTH,MA,2191,NORFOLK,CS,Yes
SHAW'S SUPERMARKET # 7424/129 742,11,BERDON WAY,11 BERDON WAY,FAIRHAVEN,MA,2719,BRISTOL,SS,Yes
ROCHE BROS SUPERMARKETS INC 117,11,COMMERCIAL ST,11 COMMERCIAL ST,MASHPEE,MA,2481,PLYMOUTH,SS,Yes
STOP QUICK MARKET,12,HAVERHILL ST,12 HAVERHILL ST,METHUEN,MA,1844,ESSEX,CS,Yes
TAUNTON XTRA MART,12,WASHINGTON ST,12 WASHINGTON ST,TAUNTON,MA,2780,BRISTOL,CS,Yes
CRONIN'S MARKET,12,CRESCENT ST,12 CRESCENT ST,WALTHAM,MA,2453,MIDDLESEX,CS,Yes
CVS PHARMACY 114,12,HARVARD STREET,12 HARVARD STREET,WALTHAM,MA,2453,MIDDLESEX,CO,Yes
CHATHAM VILLAGE MARKET INC,12,QUEEN ANNE RD,12 QUEEN ANNE RD,CHATHAM,MA,2633,BARNSTABLE,SM,Yes
DUTCH KITCHEN BAKESHOP,12,JOHN FITCH HWY,12 JOHN FITCH HWY,FITCHBURG,MA,1420,WORCESTER,LG,Yes
SOUTH HUNTINGTON MARKET INC,12,S HUNTINGTON AV,12 S HUNTINGTON AV,JAMAICA PLAIN,MA,2130,SUFFOLK,CS,Yes
LAS PALMAS MARKET,13,CHELSEA ST,13 CHELSEA ST,EAST BOSTON,MA,2128,SUFFOLK,SG,Yes
