STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
CASTILLO GROCERY,24,PALMER ST,24 PALMER ST,SALEM,MA,1970,ESSEX,MG,Yes
CENTER MARKET,25,TACOMA ST,25 TACOMA ST,WORCESTER,MA,1605,WORCESTER,MG,Yes
HANNAFORD FOOD & DRUG 382,25,ROBERT DRIVE,25 ROBERT DRIVE,EASTON,MA,2375,BRISTOL,SS,Yes
HONEY FARMS 91,25,FOSTER ST,25 FOSTER ST,WORCESTER,MA,1608,WORCESTER,MG,Yes
STOP & SHOP SUPER CENTER 488,25,WALKERS BROOK DR,25 WALKERS BROOK DR,READING,MA,1867,MIDDLESEX,SM,Yes
CUMBERLAND FARMS 6664,25,EAST MAIN STREET,25 EAST MAIN STREET,ORANGE,MA,1364,FRANKLIN,CS,Yes
SHAW'S SUPERMARKET 7476/339,25,WATER TOWER PL,25 WATER TOWER PL,LEOMINISTER,MA,1453,WORCESTER,SS,Yes
SUPER STOP & SHOP 493,25,FAUNCE CORNER ROAD,25 FAUNCE CORNER ROAD,DARTMOUTH,MA,2747,BRISTOL,SM,Yes
LANESBORO SUPERMARKET/HARDWARE,25,NORTH MAIN STREET,25 NORTH MAIN STREET,LANESBORO,MA,1237,BERKSHIRE,CS,Yes
CVS PHARMACY 1886,25,LOWELL AVE/WESTGATE S/C,25 LOWELL AVE/WESTGATE S/C,HAVERHILL,MA,1832,ESSEX,CO,Yes
MARKET BASKET 40,25,STOREY AVE,25 STOREY AVE,NEWBURYPORT,MA,1950,ESSEX,SS,Yes
SEE SUN MARKET,25,HARRISON AVE,25 HARRISON AVE,BOSTON,MA,2111,SUFFOLK,LG,Yes
EASY CONVENIENCE & DELI,26,ELM ST,26 ELM ST,WALTHAM,MA,2453,MIDDLESEX,CS,Yes
Longhill Deli Store,26,Long Hill St,26 Long Hill St,Springfield,MA,1108,HAMPDEN,SG,Yes
DAY AND NITE SUPER STORE,26,GREENWOOD STREET,26 GREENWOOD STREET,WORCESTER,MA,1607,WORCESTER,CS,Yes
MARKET BASKET 24,26,MIDDLESEX TURNPIKE,26 MIDDLESEX TURNPIKE,BURLINGTON,MA,1803,MIDDLESEX,SS,Yes
POST RD PANTRY,27,BOSTON POST RD E,27 BOSTON POST RD E,MARLBORO,MA,1752,MIDDLESEX,CS,Yes
PRIDE CONVENIENCE INC,27,MONTGOMERY STREET,27 MONTGOMERY STREET,CHICOPEE,MA,1020,HAMPDEN,CS,Yes
White Hen Pantry 1-8306-8,28,Norman St,28 Norman St,Salem,MA,1970,ESSEX,CS,Yes
TEDESCHI FOOD SHOPS #97,28,WASHINGTON STREET,28 WASHINGTON STREET,GLOUCESTER,MA,1930,ESSEX,CS,Yes
SUPER STOP & SHOP 009,28,LINCOLN STREET,28 LINCOLN STREET,HOLYOKE,MA,1040,HAMPDEN,SM,Yes
FOODS OF EUROPE,28,STATE ST,28 STATE ST,LYNN,MA,1901,ESSEX,MG,Yes
A&P FOOD MARKET/GRAND UNION LLC 1,28,SHANK PAINTER RD,28 SHANK PAINTER RD,PROVINCETOWN,MA,2657,BARNSTABLE,SS,Yes
STORE 24 16,28,E MAIN STREET,28 E MAIN STREET,FALL RIVER,MA,2724,BRISTOL,CS,Yes
MARIA MARKET INC,29,MAVERICK ST,29 MAVERICK ST,CHELSEA,MA,2150,SUFFOLK,SG,Yes
WALGREENS 02063,29,NEW DERBY STREET,29 NEW DERBY STREET,SALEM,MA,1970,ESSEX,CO,Yes
PRICE CHOPPER 151,29,SUNDERLAND ROAD,29 SUNDERLAND ROAD,WORCESTER,MA,1604,WORCESTER,SM,Yes
CUMBERLAND FARMS 6660,29,HARDWICK ROAD,29 HARDWICK ROAD,GILBERTIVLLE,MA,1031,WORCESTER,CS,Yes
CHANDLERS ST GAS & FOOD MART,30,CHANDLER ST,30 CHANDLER ST,WORCESTER,MA,1608,WORCESTER,CS,Yes
STOP & SHOP 060,30,COMMERCIAL ST,30 COMMERCIAL ST,MEDFORD,MA,2155,MIDDLESEX,SM,Yes
ATLANTIC FOOD MART INC,30,HAVEN STREET,30 HAVEN STREET,READING,MA,1867,MIDDLESEX,SS,Yes
ORIENTAL FOOD MARKET,30,MARKET SQ,30 MARKET SQ,LYNN,MA,1905,ESSEX,SG,Yes
CIRELLI FOODS INC,30,COMMERCE BLVD,30 COMMERCE BLVD,MIDDLEBORO,MA,2346,PLYMOUTH,SS,Yes
WALMART 2122,30,MEMORIAL DRIVE,30 MEMORIAL DRIVE,AVON,MA,2322,NORFOLK,SM,Yes
JOHNNY'S STORE,31,LYNNWAY,31 LYNNWAY,LYNN,MA,1902,ESSEX,CS,Yes
PURE FOOD MKT INC,31,COLLEGE HWY,31 COLLEGE HWY,SOUTHAMPTON,MA,1073,HAMPSHIRE,LG,Yes
NEGRON MINI MARKET,31,ESSEX ST,31 ESSEX ST,HOLYOKE,MA,1040,HAMPDEN,SG,Yes
GUERREROS MARKET,32,WESTFORD ST,32 WESTFORD ST,LOWELL,MA,1851,MIDDLESEX,SG,Yes
SOUTH END PACKAGE,32,FORT PLEASANT AVE,32 FORT PLEASANT AVE,SPRINGFIELD,MA,1108,HAMPDEN,CS,Yes
DOVER VARIERY,32,DOVER STREET,32 DOVER STREET,FALL RIVER,MA,2721,BRISTOL,CS,Yes
STOP & SHOP SUPERCENTER 497,32,LYMAN STREET,32 LYMAN STREET,WESTBORO,MA,1581,WORCESTER,SM,Yes
SUNNYSIDE FARMS INC #1,32,LAKE STREET,32 LAKE STREET,WEBSTER,MA,1570,WORCESTER,CS,Yes
RACING MART,32,BOSTON RD,32 BOSTON RD,SPRINGFIELD,MA,1109,HAMPDEN,CS,Yes
BROOKS PHARMACY 888,32,UNION STREET,32 UNION STREET,EAST HAMPTON,MA,1027,HAMPSHIRE,CO,Yes
CARROLL'S SUPERMARKET,33,EAST MAIN ST,33 EAST MAIN ST,MILLER FALLS,MA,1349,FRANKLIN,SG,Yes
QUINCY MARKET,33,WASHINGTON ST,33 WASHINGTON ST,QUINCY,MA,2169,NORFOLK,CS,Yes
Auburn Convenience,33,Zabelle Ave,33 Zabelle Ave,Auburn,MA,1501,WORCESTER,CS,Yes
H S CONVENIENCE STORE,33,WESTERN AVENUE,33 WESTERN AVENUE,GLOUCESTER,MA,1930,ESSEX,CS,Yes
PRICE CHOPPER 150,33,MAIN STREET,33 MAIN STREET,SPENCER,MA,1562,WORCESTER,SM,Yes
SHAW'S SUPERMARKET 7561/502,33,AUSTIN ST,33 AUSTIN ST,NEWTONVILLE,MA,2460,MIDDLESEX,SS,Yes
ALTERNATIVE MARKET,33,N WASHINGTON ST,33 N WASHINGTON ST,N ATTLEBORO,MA,2760,BRISTOL,SG,Yes
SHAW'S SUPERMARKETS 7576/538,33,KILARNOCK ST,33 KILARNOCK ST,BOSTON,MA,2215,SUFFOLK,SS,Yes
CUMBERLAND FARMS 2312,33,MAIN ST,33 MAIN ST,BRIDGEWATER,MA,2324,PLYMOUTH,CS,Yes
ARCOS,34,MAIN ST,34 MAIN ST,MILFORD,MA,1757,WORCESTER,SG,Yes
Quisqueya Food Center,34,Union St,34 Union St,Lynn,MA,1901,ESSEX,CS,Yes
SHAW'S SUPERMARKET #7507/387 7507,34,ESSEX ST,34 ESSEX ST,MELROSE,MA,2176,MIDDLESEX,SS,Yes
ROCHE BROS SUPERMARKETS INC.,34,CAMBRIDGE ST,34 CAMBRIDGE ST,BURLINGTON,MA,1803,MIDDLESEX,SS,Yes
ADVENTIST BOOK CENTER,34,SAWYER STREET BOX 448,34 SAWYER STREET BOX 448,S LANCASTER,MA,1561,WORCESTER,CS,Yes
ONE STOP INTERNATIONAL MARKET,35,BRIDGE ST,35 BRIDGE ST,LOWELL,MA,1852,MIDDLESEX,SG,Yes
SHAW'S SUPERMARKET 7440/190,35,COLUMBIA RD,35 COLUMBIA RD,HANOVER,MA,2339,PLYMOUTH,SS,Yes
P&S Convenience,35,Willie St,35 Willie St,Lowell,MA,1854,MIDDLESEX,SG,Yes
Target 2325,35,Computer Dr,35 Computer Dr,Haverhill,MA,1832,ESSEX,SS,Yes
Stop & Go,35,Mill St,35 Mill St,Westfield,MA,1085,HAMPDEN,CS,Yes
STOP & SHOP 067,35,WASHINGTON STREET,35 WASHINGTON STREET,LYNN,MA,1901,ESSEX,SM,Yes
"WINTHROP MARKETPLACE, INC.",35,REVERE ST,35 REVERE ST,WINTHROP,MA,2152,SUFFOLK,MG,Yes
CVS PHARMACY 1000,35,MERRIMACK STREET,35 MERRIMACK STREET,LOWELL,MA,1852,MIDDLESEX,CO,Yes
CUMBERLAND FARMS 6687,35,ELM STREET,35 ELM STREET,BALDWINVILLE,MA,1436,WORCESTER,CS,Yes
WALGREENS 2208,35,EAST MAIN STREET,35 EAST MAIN STREET,PEABODY,MA,1960,ESSEX,CO,Yes
CVS PHARMACY 1877,35,WEST MAIN ST,35 WEST MAIN ST,NORTON,MA,2766,BRISTOL,CO,Yes
STOLICHNIY INTERNATIONAL FOODSINC,35,GALEN ST,35 GALEN ST,WATERTOWN,MA,2472,MIDDLESEX,MG,Yes
SANDYS CONVENIENCE STORE,35,CHANDLER ST,35 CHANDLER ST,WORCESTER,MA,1609,WORCESTER,SG,Yes
Walnut Mart,36,Walnut St,36 Walnut St,Peabody,MA,1960,ESSEX,CS,Yes
FLAT'S MARKET,36,ELY STREET,36 ELY STREET,HOLYOKE,MA,1040,HAMPDEN,MG,Yes
SUPER STOP & SHOP 491,36,BEDFORD STREET,36 BEDFORD STREET,LEXINGTON,MA,2420,MIDDLESEX,SM,Yes
J.P. MARKET,36,GAYEAD STREET,36 GAYEAD STREET,JAMAICA PLAIN,MA,2130,SUFFOLK,SG,Yes
CVS PHARMACY 717,36,WHITE STREET,36 WHITE STREET,CAMBRIDGE,MA,2140,MIDDLESEX,CO,Yes
STEVES QUALITY MARKET,36,MARGIN ST,36 MARGIN ST,SALEM,MA,1970,ESSEX,SM,Yes
WALMART SUPERCENTER 2021,36,PARAMOUNT DRIVE,36 PARAMOUNT DRIVE,RAYNHAM,MA,2767,BRISTOL,SM,Yes
CHARTLEY COUNTRY #1,36,SOUTH WORCESTER STREET,36 SOUTH WORCESTER STREET,NORTON,MA,2766,BRISTOL,MG,Yes
CRONIN'S SPA,36,ADAMS ST,36 ADAMS ST,TAUNTON,MA,2780,BRISTOL,SG,Yes
HARRY'S SUPERMARKET INC,37,ELM STREET,37 ELM STREET,PITTSFIELD,MA,1201,BERKSHIRE,SS,Yes
STOP & SHOP 032,37,ENON STRE,37 ENON STRE,BEVERLY,MA,1915,ESSEX,SM,Yes
NORTH ELM BUTCHER BLOCK,37,NORTHELM ST,37 NORTHELM ST,WESTFIELD,MA,1085,HAMPDEN,MG,Yes
"KHMER ANGKOR MARKET, INC.",37,BRANCH ST,37 BRANCH ST,LOWELL,MA,1851,MIDDLESEX,SG,Yes
S&A CONVENIENCE,38,MARKET ST,38 MARKET ST,LYNN,MA,1901,ESSEX,CS,Yes
PRICERITE OF SOUTH NEW BEDFORD,39,SOUTH ST & JFK HWY,39 SOUTH ST & JFK HWY,NEW BEDFORD,MA,2740,BRISTOL,SS,Yes
CVS PHARMACY 768,39,CHELMSFORD ST,39 CHELMSFORD ST,CHELMSFORD,MA,1824,MIDDLESEX,CO,Yes
SUPER STOP & SHOP 011,40,FURLONG DRIVE,40 FURLONG DRIVE,REVERE,MA,2151,SUFFOLK,SM,Yes
SILVA'S MINI MARKET,40,PERRY STREET,40 PERRY STREET,LOWELL,MA,1852,MIDDLESEX,CS,Yes
THE VILLAGE MARKET,40,CORINTH STREET,40 CORINTH STREET,ROSLINDALE,MA,2131,SUFFOLK,SS,Yes
WHOLE FOODS MARKET 10371,40,RAILROAD STREET,40 RAILROAD STREET,ANDOVER,MA,1810,ESSEX,SS,Yes
STOP & SHOP 435,40,GEORGE HANNUM ST,40 GEORGE HANNUM ST,BELCHERTOWN,MA,1007,HAMPSHIRE,SM,Yes
DOWNTOWN CONVENIENCE,40,BOYLSTON ST,40 BOYLSTON ST,BOSTON,MA,2116,SUFFOLK,CS,Yes
ABC'S MINI MARKET,41,GRANITE ST,41 GRANITE ST,WORCESTER,MA,1604,WORCESTER,CS,Yes
KAREN MARKET,41,BENNINGTON ST,41 BENNINGTON ST,E BOSTON,MA,2128,SUFFOLK,SG,Yes
Target 2267,41,Robert Dr,41 Robert Dr,Easton,MA,2356,BRISTOL,SS,Yes
HI-LO SUPERMARKET,41,ROCKDALE AVE,41 ROCKDALE AVE,NEW BEDFORD,MA,2740,BRISTOL,SS,Yes
CLOVERS ORGANIC MARKET,42,PARK ST,42 PARK ST,LEE,MA,1238,BERKSHIRE,CS,Yes
BOSTON MART,42,COURT STREET,42 COURT STREET,BOSTON,MA,2108,SUFFOLK,CS,Yes
KEYSTONE MARKET,42,BRIDGE ST,42 BRIDGE ST,SHELBURNE FALLS,MA,1370,HAMPSHIRE,LG,Yes
Barcas Spa,42,Mt Auburn St,42 Mt Auburn St,Watertown,MA,2472,MIDDLESEX,CS,Yes
Kippo Market,42,Bradford St,42 Bradford St,Everett,MA,2149,MIDDLESEX,CS,Yes
Cibao Grocery,42,Maverick St,42 Maverick St,E Boston,MA,2128,SUFFOLK,SG,Yes
CVS PHARMACY 1015,42,BEALE STREET,42 BEALE STREET,WOLLASTON,MA,2170,NORFOLK,CO,Yes
HATFIELD BEEF CO,42,NORTH HATFIELD RD,42 NORTH HATFIELD RD,HATFIELD,MA,1038,HAMPSHIRE,MG,Yes
WALMART 1906,42,FAIRHAVEN COMMONS WAY,42 FAIRHAVEN COMMONS WAY,FAIRHAVEN,MA,2719,BRISTOL,SM,Yes
SUNNYS MART,43,MAPLE ST,43 MAPLE ST,EAST LONGMEADOW,MA,1028,HAMPDEN,CS,Yes
JIMS CORNER MARKET,43,BROAD ST,43 BROAD ST,LYNN,MA,1902,ESSEX,CS,Yes
White Hen Pantry 1-7003-8,43,Revere St,43 Revere St,Winthrop,MA,2152,SUFFOLK,CS,Yes
SHAW'S SUPERMARKET # 7578/540 757,43,STATE ST,43 STATE ST,LYNN,MA,1901,ESSEX,SS,Yes
VILLAGE FOOD MART,43,SOMERS ROAD,43 SOMERS ROAD,HAMPDEN,MA,1036,HAMPDEN,LG,Yes
CROSSING CORNER MARKET,43,BECKFORD ST,43 BECKFORD ST,BEVERLY,MA,1915,ESSEX,CS,Yes
ELMA FOOD MARKET,44,FERRY ST,44 FERRY ST,EVERETT,MA,2149,MIDDLESEX,SG,Yes
COUNTRY CORNER STORE,44,CHURCH ST,44 CHURCH ST,BERNARDSTON,MA,1337,FRANKLIN,CS,Yes
BIG Y STORE 50,44,WILLAMANSETT STREET,44 WILLAMANSETT STREET,SOUTH HADLEY,MA,1075,HAMPSHIRE,SS,Yes
"CVS PHARMACY, INC 314",45,ATLANTIC AVE,45 ATLANTIC AVE,MARBLEHEAD,MA,1945,ESSEX,CO,Yes
BA DISTRIBUTORS,45,TENTH STREET,45 TENTH STREET,FALL RIVER,MA,2720,BRISTOL,CS,Yes
STAR MARKET 7587/564,45,MORRISSEY BLVD,45 MORRISSEY BLVD,DORCHESTER,MA,2125,SUFFOLK,SS,Yes
BIG Y STORE #26,45,VETERANS MEMORIAL DRIVE,45 VETERANS MEMORIAL DRIVE,NORTH ADAMS,MA,1247,BERKSHIRE,SS,Yes
7-ELEVEN #33232-A,45,COGGESHELL ST,45 COGGESHELL ST,NEW BEDFORD,MA,2746,BRISTOL,CO,Yes
COSTAS CASH EXPRESS,46,COUNTY ST,46 COUNTY ST,NEW BEDFORD,MA,2744,BRISTOL,CS,Yes
LUDLOW PUBLIC MARKET,46,BIRCH STREET,46 BIRCH STREET,LUDLOW,MA,1056,HAMPDEN,MG,Yes
BROTHERS SUPER MARKET,46,WASHINGTON STREET,46 WASHINGTON STREET,DORCHESTER,MA,2121,SUFFOLK,MG,Yes
CUMBERLAND FARMS 6690,46,COMMERCIAL STREET,46 COMMERCIAL STREET,ADAMS,MA,1220,BERKSHIRE,CS,Yes
ORLEANS WHOLE FOOD STORE,46,MAIN ST,46 MAIN ST,ORLEANS,MA,2653,BARNSTABLE,MG,Yes
Superior Market,47,Meetinghouse Rd,47 Meetinghouse Rd,Chicopee,MA,1013,HAMPDEN,MG,Yes
FOODMASTER SUPERMARKET #2 02,47,BEACON STREET,47 BEACON STREET,SOMERVILLE,MA,2143,MIDDLESEX,SS,Yes
VICTORY,47,ELM STREET,47 ELM STREET,WESTFIELD,MA,1085,HAMPDEN,CS,Yes
CVS PHARMACY 1234,47,FRANKLIN ST,47 FRANKLIN ST,WESTFIELD,MA,1085,HAMPDEN,CO,Yes
HARTES PACKAGE & VARIETY STORE,47,DALTON AV,47 DALTON AV,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
BROOKS PHARMACY 562,47,MEMORIAL PARKWAY,47 MEMORIAL PARKWAY,RANDOLPH,MA,2368,NORFOLK,CO,Yes
NORTH HAMPTON MARKET,48,OLD SOUTH ST,48 OLD SOUTH ST,NORTH HAMPTON,MA,1060,HAMPSHIRE,CS,Yes
Sunrise Sunset Mini Mart,48,Granite St,48 Granite St,Worcester,MA,1604,WORCESTER,CS,Yes
Taunton Service & Convenience Exp,48,Broadway,48 Broadway,Taunton,MA,2780,BRISTOL,CO,Yes
FAIRWAY BEEF CO INC,48,GRAFTON STREET,48 GRAFTON STREET,WORCESTER,MA,1604,WORCESTER,SM,Yes
MADISON SHELL FOODMART,48,MADISON STREET,48 MADISON STREET,WORCESTER,MA,1608,WORCESTER,CS,Yes
CENTRAL SUPERMARKET IGA,49,CENTRAL ST,49 CENTRAL ST,WINCHENDON,MA,1475,WORCESTER,SM,Yes
WALGREENS 09319,49,STATION LANDING,49 STATION LANDING,MEDFORD,MA,2155,MIDDLESEX,CO,Yes
Volvio Nera Market,49,Walnut St,49 Walnut St,Lawrence,MA,1841,ESSEX,CS,Yes
Country Convenience,49,S Main St,49 S Main St,Athol,MA,1331,WORCESTER,CS,Yes
SHAW'S SUPERMARKETS 7563/504,49,WHITE ST,49 WHITE ST,CAMBRIDGE,MA,2140,MIDDLESEX,SS,Yes
WEST WYOMING MARKET,49,WEST WYOMING AVE.,49 WEST WYOMING AVE.,MELROSE,MA,2176,MIDDLESEX,CS,Yes
CUMBERLAND FARMS 6639,49,MAIN STREET,49 MAIN STREET,GREENFIELD,MA,1301,FRANKLIN,CS,Yes
STORE 24 57,49,MAIN STREET,49 MAIN STREET,MILFORD,MA,1757,WORCESTER,CS,Yes
CHAVES MARKET INC,49,COLUMBIA,49 COLUMBIA,FALL RIVER,MA,2721,BRISTOL,SM,Yes
MARKET BASKET 46,49,POND STREET,49 POND STREET,ASHLAND,MA,1721,MIDDLESEX,SS,Yes
7-ELEVEN 33058B,50,SUMMER ST,50 SUMMER ST,BOSTON,MA,2110,SUFFOLK,CS,Yes
HENRY CONVENIENCE STORE,50,INMAN ST,50 INMAN ST,LAWRENCE,MA,1843,ESSEX,CS,Yes
88 SUPERMARKET,50,HERALD STREET,50 HERALD STREET,BOSTON,MA,2118,SUFFOLK,SS,Yes
White Hen Pantry 1-8603-1,50,Bass Ave,50 Bass Ave,Gloucester,MA,1930,ESSEX,CS,Yes
TRANS WORLD FOOD MARKET,50,RUSSELL ST,50 RUSSELL ST,HADLEY,MA,1035,HAMPSHIRE,MG,Yes
WALGREENS 02268,50,SAINT JAMES BLVD,50 SAINT JAMES BLVD,SPRINGFIELD,MA,1104,HAMPDEN,CO,Yes
A PLUS MARKET INC,50,CENTRAL STREET,50 CENTRAL STREET,PEABODY,MA,1960,ESSEX,CS,Yes
METHUEN LIQUORS AND GROCERIES,50,LAWRENCE STREET,50 LAWRENCE STREET,METHUEN,MA,1844,ESSEX,CS,Yes
VALUE MART,50,HAMILTON STREET,50 HAMILTON STREET,WORCESTER,MA,1604,WORCESTER,CS,Yes
FOODMASTERS SUPERMARKETS #15,50,BOSTON STREET,50 BOSTON STREET,LYNN,MA,1902,ESSEX,SS,Yes
7-ELEVEN 32441A,50,WESTERN AVE.,50 WESTERN AVE.,LYNN,MA,1904,ESSEX,CS,Yes
CVS PHARMACY 316,50,PULASKI BOULEVARD,50 PULASKI BOULEVARD,BELLINGHAM,MA,2019,NORFOLK,CO,Yes
7-ELEVEN #32486A,50,MAPLEWOOD AVE,50 MAPLEWOOD AVE,GLOUCESTER,MA,1930,ESSEX,CS,Yes
BIG Y STORE 28,50,SOUTHWEST CUTOFF,50 SOUTHWEST CUTOFF,WORCESTER,MA,1604,WORCESTER,SS,Yes
SUPER STOP & SHOP 423,50,WATER ST.,50 WATER ST.,VINEYARD HAVEN,MA,2568,DUKES,SM,Yes
PRICE CHOPPER SUPER CTR 179,50,CAMBRIDGE ST,50 CAMBRIDGE ST,WORCESTER,MA,1610,WORCESTER,SM,Yes
CVS PHARMACY 1221,50,MEDWAY RD,50 MEDWAY RD,MILFORD,MA,1757,WORCESTER,CO,Yes
Ashburnham Marketplace,50,Rear Main St,50 Rear Main St,ASHBURNHAM,MA,1430,WORCESTER,LG,Yes
"CHRISTY'S #607, CAPE COD 607",50,OCEAN STREET,50 OCEAN STREET,HYANNIS,MA,2601,BARNSTABLE,MG,Yes
SHAW'S SUPERMARKET 7470/330,50,BOSTON TURNPIKE RD,50 BOSTON TURNPIKE RD,SHREWSBURY,MA,1545,WORCESTER,SS,Yes
CARLOS GROCERY,51,MYRTLE ST,51 MYRTLE ST,LAWRENCE,MA,1841,ESSEX,SG,Yes
PROSPECT VARIETY,51,PROSPECT ST,51 PROSPECT ST,SPRINGFIELD,MA,1107,HAMPDEN,CS,Yes
T&N FOOD STORE,51,BRANCH ST,51 BRANCH ST,LOWELL,MA,1851,MIDDLESEX,CS,Yes
Honeyland Farms,51,Chestnut St,51 Chestnut St,Gardner,MA,1440,WORCESTER,MG,Yes
Mima & Andpas Mini Mart,51,Montmorenci St,51 Montmorenci St,Springfield,MA,1107,HAMPDEN,CS,Yes
BROOKS PHARMACY 331,51,TREMONT ST,51 TREMONT ST,TAUNTON,MA,2780,BRISTOL,CO,Yes
7-ELEVEN 32450-B,51,COMMERCIAL ST,51 COMMERCIAL ST,BRAINTREE,MA,2184,NORFOLK,CS,Yes
CVS PHARMACY 20,51,MARIONNOS BISHOP BLVD,51 MARIONNOS BISHOP BLVD,FALL RIVER,MA,2721,BRISTOL,CO,Yes
STATE STREET FRUIT STORE,51,STATE STREET,51 STATE STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,CO,Yes
POLANCO MARKET,51,CENTER,51 CENTER,METHUEN,MA,1844,ESSEX,MG,Yes
D & M CONVENIENCE,51,COTTAGE ST,51 COTTAGE ST,EAST BOSTON,MA,2128,SUFFOLK,CS,Yes
FOODMASTER SUPERMARKET #7 07,51,AUSTIN STREET,51 AUSTIN STREET,CHARLESTOWN,MA,2129,SUFFOLK,SS,Yes
TRADER JOE'S 515,51,MIDDLESEX TURNPIKE,51 MIDDLESEX TURNPIKE,BURLINGTON,MA,1803,MIDDLESEX,SM,Yes
SUNSHINE FRUIT,52,FRANKLIN ST,52 FRANKLIN ST,QUINCY,MA,2169,NORFOLK,CS,Yes
Gas Express,52,Tarklin Hill Rd,52 Tarklin Hill Rd,New Bedford,MA,2745,BRISTOL,CS,Yes
LIL PEACH,52,CABOT ST,52 CABOT ST,BEVERLY,MA,1915,ESSEX,CS,Yes
EAST BOSTON SHELL,52,MERIDIAN STREET,52 MERIDIAN STREET,EAST BOSTON,MA,2128,SUFFOLK,CO,Yes
BROOKS PHARMACY 548,52,BOSTON ST,52 BOSTON ST,LYNN,MA,1904,ESSEX,CO,Yes
TRUCCHI'S SUPERMARKET 1,53,TREMONT STREET,53 TREMONT STREET,TAUNTON,MA,2780,BRISTOL,SS,Yes
COUNTRY FARM,53,HAMILTON STREET,53 HAMILTON STREET,SOUTHBRIDGE,MA,1550,WORCESTER,CS,Yes
CUMBERLAND FARMS 0129,53,MAIN STREET,53 MAIN STREET,FLORENCE,MA,1062,HAMPSHIRE,CS,Yes
CVS PHARMACY 915,53,"DODGE ST,BEVERLY PLAZA","53 DODGE ST,BEVERLY PLAZA",BEVERLY,MA,1915,ESSEX,CO,Yes
NEW BEDFORD SALCHICHARIA INC,53,BELLEVILLE RD,53 BELLEVILLE RD,NEW BEDFORD,MA,2745,BRISTOL,MG,Yes
TRUCCHI'S SUPERMARKET 2,53,EAST CENTER STREET,53 EAST CENTER STREET,W BRIDGEWATER,MA,2379,PLYMOUTH,SS,Yes
GRACES MARKET,54,UNION ST,54 UNION ST,LAWRENCE,MA,1840,ESSEX,CS,Yes
RICHDALE CONVENIENCE,54,WEST WYOMING AVE,54 WEST WYOMING AVE,MELROSE,MA,2176,MIDDLESEX,MG,Yes
WALGREEN 07703,54,CENTER SQUARE,54 CENTER SQUARE,E LONGMEADOW,MA,1028,HAMPDEN,CO,Yes
JOHNNYS MARKET #3,54,WASHINGTON ST,54 WASHINGTON ST,CHELSEA,MA,2150,SUFFOLK,CS,Yes
WALGREENS 02699,54,EAST STREET,54 EAST STREET,LUDLOW,MA,1056,HAMPDEN,CO,Yes
WALGREENS 01860,54,ELLIOT STREET,54 ELLIOT STREET,BEVERLY,MA,1915,ESSEX,CO,Yes
WALGREENS 6739,54,PLAIN ST,54 PLAIN ST,LOWELL,MA,1851,MIDDLESEX,CO,Yes
PLEASANT STREET MARKET,54,PLEASANT STREET,54 PLEASANT STREET,WESTFIELD,MA,1085,HAMPDEN,CS,Yes
D&R MARKET,54,FOSTER ST,54 FOSTER ST,PEABODY,MA,1960,ESSEX,MG,Yes
PARK STREET CONVENIENCE,54,PARK STREET,54 PARK STREET,W SPRINGFIELD,MA,1089,HAMPDEN,CS,Yes
JUMA GROCERY,55,MECHANIC STREET,55 MECHANIC STREET,MARLBORO,MA,1752,MIDDLESEX,SG,Yes
7-Eleven 32457C,55,Berkeley St,55 Berkeley St,Boston,MA,2116,SUFFOLK,CS,Yes
Harvard Street Community Market,55,Harvard St,55 Harvard St,Dorchester,MA,2124,SUFFOLK,CS,Yes
Genesis Market,55,Pond St,55 Pond St,Ashland,MA,1721,MIDDLESEX,CS,Yes
Garden City Market,55,North Main St,55 North Main St,South Deerfield,MA,1373,FRANKLIN,MG,Yes
HANNAFORD SUPERMARKET 17,55,RUSSELL STREET,55 RUSSELL STREET,WALTHAM,MA,2451,MIDDLESEX,SS,Yes
CVS PHARAMCY 252,55,RIVERSIDE AVENUE,55 RIVERSIDE AVENUE,MEDFORD,MA,2155,MIDDLESEX,CO,Yes
7-ELEVEN 33097-A,55,CHELMSFORD ST,55 CHELMSFORD ST,LOWELL,MA,1851,MIDDLESEX,CS,Yes
WALMART 2180,55,BROOKSBY VILLAGE WAY,55 BROOKSBY VILLAGE WAY,DANVERS,MA,1923,ESSEX,SM,Yes
"CHUNG WAH HONG CO.,",55,BEACH ST,55 BEACH ST,BOSTON,MA,2111,SUFFOLK,LG,Yes
STOP & SHOP 22,55,LONG POND DRIVE,55 LONG POND DRIVE,S YARMOUTH,MA,2664,BARNSTABLE,SM,Yes
COUNTRY FARMS,56,AIKEN AVE,56 AIKEN AVE,LOWELL,MA,1851,MIDDLESEX,CS,Yes
MINI MART,56,MAIN STREET,56 MAIN STREET,WEBSTER,MA,1570,WORCESTER,MG,Yes
LOEB'S FOODTOWN OF LENOX INC,56,MAIN STREET,56 MAIN STREET,LENOX,MA,1240,BERKSHIRE,LG,Yes
WHITE HEN PANTRY #1-9101-7,56,RIVER ST,56 RIVER ST,HAVERHILL,MA,1832,ESSEX,CS,Yes
"ORLEANS GENERAL STORE INC.,",57,MAIN STREET,57 MAIN STREET,ORLEANS,MA,2653,BARNSTABLE,CS,Yes
